省份,城市名称,城市级别,常住人口(万人)
内蒙古自治区,兴安盟,三线,161
甘肃省,张掖市,三线,120
西藏自治区,拉萨市,三线,87
内蒙古自治区,乌兰察布市,三线,172
黑龙江省,伊春市,三线,115
云南省,怒江傈僳族自治州,三线,55
新疆维吾尔自治区,阿拉尔市,三线,68
甘肃省,武威市,三线,162
吉林省,延边朝鲜族自治州,三线,209
新疆维吾尔自治区,伊犁哈萨克自治州,三线,277
新疆维吾尔自治区,克拉玛依市,三线,47
甘肃省,金昌市,三线,46
云南省,普洱市,三线,259
陕西省,延安市,三线,226
云南省,丽江市,三线,127
宁夏回族自治区,中卫市,三线,108
黑龙江省,双鸭山市,三线,145
黑龙江省,牡丹江市,三线,251
吉林省,白山市,三线,116
云南省,西双版纳傣族自治州,三线,130
黑龙江省,鹤岗市,三线,103
黑龙江省,佳木斯市,三线,230
黑龙江省,鸡西市,三线,171
吉林省,白城市,三线,196
甘肃省,白银市,三线,163
甘肃省,嘉峪关市,三线,25
宁夏回族自治区,吴忠市,三线,143
云南省,楚雄彝族自治州,三线,262
河北省,承德市,三线,365
甘肃省,庆阳市,三线,255
甘肃省,陇南市,三线,278
福建省,南平市,三线,263
四川省,雅安市,三线,154
云南省,临沧市,三线,243
福建省,三明市,三线,248
宁夏回族自治区,固原市,三线,152
青海省,海东市,三线,146
云南省,德宏傣族景颇族自治州,三线,130
陕西省,商洛市,三线,221
广西壮族自治区,崇左市,三线,201
河北省,张家口市,三线,431
云南省,文山壮族苗族自治州,三线,369
山西省,忻州市,三线,298
陕西省,安康市,三线,296
吉林省,松原市,三线,278
黑龙江省,七台河市,三线,83
宁夏回族自治区,石嘴山市,三线,71
四川省,广元市,三线,222
吉林省,通化市,三线,207
甘肃省,定西市,三线,272
安徽省,黄山市,三线,137
黑龙江省,绥化市,三线,501
浙江省,丽水市,三线,253
广西壮族自治区,防城港市,三线,93
辽宁省,朝阳市,三线,302
广西壮族自治区,来宾市,三线,210
湖南省,张家界市,三线,152
湖北省,恩施土家族苗族自治州,三线,387
四川省,攀枝花市,三线,122
山西省,朔州市,三线,175
辽宁省,阜新市,三线,171
广西壮族自治区,贺州市,三线,200
湖南省,湘西土家族苗族自治州,三线,262
安徽省,池州市,三线,143
甘肃省,平凉市,三线,199
陕西省,铜川市,三线,75
辽宁省,铁岭市,三线,254
河南省,三门峡市,三线,202
安徽省,宣城市,三线,254
吉林省,辽源市,三线,108
吉林省,四平市,三线,316
湖北省,随州市,三线,222
山西省,晋城市,三线,234
浙江省,衢州市,三线,219
四川省,巴中市,三线,308
辽宁省,葫芦岛市,三线,261
新疆维吾尔自治区,五家渠市,三线,21
甘肃省,临夏回族自治州,三线,238
海南省,儋州市,三线,103
山西省,阳泉市,三线,138
江西省,景德镇市,三线,164
内蒙古自治区,乌海市,三线,56
青海省,西宁市,三线,246
江西省,鹰潭市,三线,115
四川省,资阳市,三线,194
江西省,新余市,三线,119
河南省,济源市,三线,73
辽宁省,辽阳市,三线,181
海南省,三沙市,三线,6
河北省,衡水市,三线,428
江西省,萍乡市,三线,187
安徽省,铜陵市,三线,153
湖北省,鄂州市,三线,108
河南省,鹤壁市,三线,163
浙江省,舟山市,三线,116
河南省,漯河市,三线,271
新疆维吾尔自治区,石河子市,三线,66
北京市,北京市,一线,2189
广东省,广州市,一线,1882
上海市,上海市,一线,2489
广东省,深圳市,一线,1766
内蒙古自治区,包头市,准一线,271
黑龙江省,哈尔滨市,准一线,1000
内蒙古自治区,呼和浩特市,准一线,344
新疆维吾尔自治区,乌鲁木齐市,准一线,407
甘肃省,兰州市,准一线,436
重庆市,重庆市,准一线,3213
广西壮族自治区,南宁市,准一线,874
云南省,昆明市,准一线,846
吉林省,长春市,准一线,909
河北省,唐山市,准一线,760
辽宁省,大连市,准一线,745
福建省,福州市,准一线,829
辽宁省,沈阳市,准一线,907
河北省,石家庄市,准一线,1124
浙江省,杭州市,准一线,1237
贵州省,贵阳市,准一线,598
山西省,太原市,准一线,541
福建省,泉州市,准一线,878
安徽省,合肥市,准一线,963
江西省,南昌市,准一线,640
湖南省,长沙市,准一线,1042
山东省,青岛市,准一线,1007
山东省,济南市,准一线,941
浙江省,宁波市,准一线,969
天津市,天津市,准一线,1373
陕西省,西安市,准一线,1307
江苏省,常州市,准一线,534
江苏省,南京市,准一线,942
江苏省,南京市,准一线,942
四川省,成都市,准一线,2127
江苏省,苏州市,准一线,1285
湖北省,武汉市,准一线,1365
江苏省,无锡市,准一线,749
河南省,郑州市,准一线,1282
广东省,佛山市,准一线,961
福建省,厦门市,准一线,528
广东省,东莞市,准一线,1046
